,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
511,2020_04_25,-34.6194443,-58.3729959,https://departamento.mercadolibre.com.ar/MLA-849549737-departamento-alquiler-temporario-san-telmo-buenos-aires-_JM,"Departamento Alquiler Temporario San Telmo, Buenos Aires",Departamento,900.0,ARS,34,2
512,2020_04_25,-34.5662135,-58.4601754,https://departamento.mercadolibre.com.ar/MLA-849724833-departamentos-alquiler-temporal-belgrano-_JM,Departamentos Alquiler Temporal Belgrano,Departamento,30000.0,ARS,80,2
515,2020_04_25,-34.5598921,-58.4433713,https://departamento.mercadolibre.com.ar/MLA-850009257-alquiler-departamento-2-ambientes-con-cochera-belgrano-chico-balcon-con-parrilla-_JM,Alquiler  Departamento 2 Ambientes Con Cochera Belgrano Chico - Balcón Con Parrilla,Departamento,38000.0,ARS,55,2
525,2020_04_25,-34.574209,-58.432502,https://departamento.mercadolibre.com.ar/MLA-850262666-alquiler-palermo-2-amb-amoblado-balcon-amenities-_JM,Alquiler Palermo 2 Amb Amoblado Balcón Amenities,Departamento,25000.0,ARS,52,2
532,2020_04_25,-34.5434803,-58.4615759,https://departamento.mercadolibre.com.ar/MLA-850323756-departamentos-alquiler-nunez-_JM,Departamentos Alquiler Nuñez,Departamento,45000.0,ARS,58,2
534,2020_04_25,-34.5820122,-58.4300277,https://departamento.mercadolibre.com.ar/MLA-850325798-departamentos-alquiler-palermo-_JM,Departamentos Alquiler Palermo,Departamento,1100.0,USD,55,2
541,2020_04_25,-34.6272011,-58.4767748,https://departamento.mercadolibre.com.ar/MLA-850354592-dto-2-amb-campana-441-caba-dno-directo-_JM,"Dto. 2 Amb.  Campana 441 Caba,  Dño. Directo",Departamento,13500.0,ARS,35,2
542,2020_04_25,-34.6294741,-58.43359,https://departamento.mercadolibre.com.ar/MLA-850380197-departamento-en-alquiler-de-2-ambientes-a-lateral-con-balcon-_JM,Departamento En Alquiler De 2 Ambientes A Lateral Con Balcón,Departamento,17000.0,ARS,45,2
545,2020_04_25,-34.6119424,-58.4182616,https://departamento.mercadolibre.com.ar/MLA-850419695-2-amb-60m2-cocina-cdor-diario-lav-jardin-living-_JM,2 Amb 60m2 Cocina Cdor Diario-lav-jardin- Living,Departamento,22000.0,ARS,60,2
555,2020_04_25,-34.6172302,-58.3719415,https://departamento.mercadolibre.com.ar/MLA-850447733-impresionante-2-ambientes-oportunidad-_JM,Impresionante 2 Ambientes! Oportunidad!,Departamento,25600.0,ARS,80,2
556,2020_04_25,-34.5995566,-58.4342039,https://departamento.mercadolibre.com.ar/MLA-850449315-departamento-villa-crespo-_JM,Departamento - Villa Crespo,Departamento,25000.0,ARS,49,2
557,2020_04_25,-34.615992,-58.3710694,https://departamento.mercadolibre.com.ar/MLA-850449803-san-telmo-departamento-ph-3-ambientes-alquiler-temporario-_JM,"San Telmo, Departamento Ph 3 Ambientes, Alquiler Temporario.",Departamento,25000.0,ARS,55,2
558,2020_04_25,-34.6100426,-58.4470596,https://departamento.mercadolibre.com.ar/MLA-850452095-alquiler-excelente-departamento-en-pleno-caballito-_JM,Alquiler. Excelente Departamento En Pleno Caballito.,Departamento,21000.0,ARS,42,2
559,2020_04_25,-34.6177578,-58.3839508,https://departamento.mercadolibre.com.ar/MLA-850456360-san-telmo-departamento-2-ambientes-con-quincho-y-parrilla-alquiler-temporario-_JM,"San Telmo, Departamento 2 Ambientes Con Quincho Y Parrilla, Alquiler Temporario.",Departamento,25600.0,ARS,42,2
