,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
529,2020_04_25,-34.5758212,-58.422374,https://departamento.mercadolibre.com.ar/MLA-850280752-departamentos-alquiler-palermo-_JM,Departamentos Alquiler Palermo,Departamento,3900.0,USD,126,3
530,2020_04_25,-34.5664783,-58.4341001,https://departamento.mercadolibre.com.ar/MLA-850281852-departamentos-alquiler-las-canitas-_JM,Departamentos Alquiler Las Cañitas,Departamento,2500.0,USD,130,3
533,2020_04_25,-34.6032854,-58.3633761,https://departamento.mercadolibre.com.ar/MLA-850324344-departamentos-alquiler-puerto-madero-_JM,Departamentos Alquiler Puerto Madero,Departamento,2500.0,USD,90,3
535,2020_04_25,-34.6032854,-58.3633761,https://departamento.mercadolibre.com.ar/MLA-850325808-departamentos-alquiler-temporal-puerto-madero-_JM,Departamentos Alquiler Temporal Puerto Madero,Departamento,3000.0,USD,90,3
539,2020_04_25,-34.581632,-58.4127173,https://departamento.mercadolibre.com.ar/MLA-850347757-en-palacio-de-los-gansos-alquiler-amoblado-coch-vigilancia-parque-juegos-ninos-_JM,En Palacio De Los Gansos Alquiler Amoblado Coch Vigilancia Parque Juegos Niños,Departamento,1500.0,USD,178,3
543,2020_04_25,-34.5779911,-58.4277246,https://departamento.mercadolibre.com.ar/MLA-850382645-departamentos-alquiler-palermo-_JM,Departamentos Alquiler Palermo,Departamento,27000.0,ARS,60,3
574,2020_04_25,-34.6217229,-58.4443891,https://departamento.mercadolibre.com.ar/MLA-850476851-excelente-departamento-apto-profesional-en-zona-parque-rivadavia-_JM,Excelente Departamento Apto Profesional En Zona Parque Rivadavia,Departamento,25000.0,ARS,0,3
579,2020_04_25,-34.5594421,-58.4817313,https://departamento.mercadolibre.com.ar/MLA-850488729-3-ambientes-con-cochera-y-baulera-en-complejo-tronador-_JM,3 Ambientes Con Cochera Y Baulera En Complejo Tronador,Departamento,50000.0,ARS,119,3
592,2020_04_25,-34.5618902,-58.4579081,https://departamento.mercadolibre.com.ar/MLA-850545250-departamentos-alquiler-belgrano-_JM,Departamentos Alquiler Belgrano,Departamento,25000.0,ARS,60,3
603,2020_04_25,-34.608625,-58.387891,https://departamento.mercadolibre.com.ar/MLA-850559039-alquiler-depto-3-amb-apto-profesional-monserrat-_JM,Alquiler Depto 3 Amb Apto Profesional Monserrat,Departamento,15000.0,ARS,55,3
607,2020_04_25,-34.5669789,-58.4520852,https://departamento.mercadolibre.com.ar/MLA-850620249-excelente-semipiso-3-ambientes-con-cochera-fija-en-belgrano-_JM,Excelente Semipiso 3 Ambientes Con Cochera Fija En Belgrano!,Departamento,58000.0,ARS,81,3
609,2020_04_25,-34.563248,-58.4623505,https://departamento.mercadolibre.com.ar/MLA-850620268-3-ambientes-av-cramer-al-2200-_JM,3 Ambientes | Av. Cramer Al 2200,Departamento,67000.0,ARS,111,3
611,2020_04_25,-34.56393,-58.4620905,https://departamento.mercadolibre.com.ar/MLA-850620985-3-ambientes-avenida-cramer-al-2200-_JM,3 Ambientes | Avenida Cramer Al 2200,Departamento,72000.0,ARS,111,3
612,2020_04_25,-34.5478849,-58.4678615,https://departamento.mercadolibre.com.ar/MLA-850621021-departamento-belgrano-_JM,Departamento - Belgrano,Departamento,35000.0,ARS,55,3
616,2020_04_25,-34.5734616,-58.419545,https://departamento.mercadolibre.com.ar/MLA-850670822-alquiler-temporario-en-palermo-_JM,Alquiler Temporario En Palermo,Departamento,65000.0,ARS,65,3
618,2020_04_25,-34.5733814,-58.4216911,https://departamento.mercadolibre.com.ar/MLA-850672372-segui-4600-palermo-alquiler-departamento-premium-torre-deco-_JM,Segui 4600 - Palermo - Alquiler Departamento Premium Torre Deco.,Departamento,1950.0,USD,110,3
628,2020_04_25,-34.5933097,-58.4048946,https://departamento.mercadolibre.com.ar/MLA-850727265-departamentos-alquiler-barrio-norte-_JM,Departamentos Alquiler Barrio Norte,Departamento,29000.0,ARS,67,3
629,2020_04_25,-34.5953065,-58.3857296,https://departamento.mercadolibre.com.ar/MLA-850728129-departamentos-alquiler-barrio-norte-_JM,Departamentos Alquiler Barrio Norte,Departamento,35000.0,ARS,78,3
630,2020_04_25,-34.5933032,-58.3861542,https://departamento.mercadolibre.com.ar/MLA-850728153-departamentos-alquiler-recoleta-_JM,Departamentos Alquiler Recoleta,Departamento,47000.0,ARS,97,3
631,2020_04_25,-34.59338,-58.4030473,https://departamento.mercadolibre.com.ar/MLA-850728811-departamentos-alquiler-recoleta-_JM,Departamentos Alquiler Recoleta,Departamento,25000.0,ARS,82,3
632,2020_04_25,-34.5920413,-58.4063598,https://departamento.mercadolibre.com.ar/MLA-850728858-departamentos-alquiler-barrio-norte-_JM,Departamentos Alquiler Barrio Norte,Departamento,22000.0,ARS,64,3
635,2020_04_25,-34.6403353,-58.5186181,https://departamento.mercadolibre.com.ar/MLA-850740172-departamentos-alquiler-liniers-_JM,Departamentos Alquiler Liniers,Departamento,21000.0,ARS,58,3
638,2020_04_25,-34.6354046,-58.4689995,https://departamento.mercadolibre.com.ar/MLA-850746591-departamentos-alquiler-flores-_JM,Departamentos Alquiler Flores,Departamento,35000.0,ARS,82,3
648,2020_04_25,-34.552067,-58.45142,https://departamento.mercadolibre.com.ar/MLA-850763080-departamentos-alquiler-nunez-_JM,Departamentos Alquiler Nuñez,Departamento,23500.0,ARS,50,3
651,2020_04_25,-34.5828362,-58.4322929,https://departamento.mercadolibre.com.ar/MLA-850784838-dplex-2-amb-torre-hollywood-ii-palermo-dde-1-4-2020-_JM,Dplex. 2 Amb - Torre Hollywood Ii - Palermo Dde. 1-4-2020,Departamento,1050.0,USD,66,3
652,2020_04_25,-34.5859801,-58.428131,https://departamento.mercadolibre.com.ar/MLA-850795269-departamentos-alquiler-palermo-soho-_JM,Departamentos Alquiler Palermo Soho,Departamento,33000.0,ARS,85,3
668,2020_04_25,-34.6045656,-58.3642063,https://departamento.mercadolibre.com.ar/MLA-850852448-departamentos-alquiler-puerto-madero-_JM,Departamentos Alquiler Puerto Madero,Departamento,2950.0,USD,184,3
670,2020_04_25,-34.5911958,-58.386458,https://departamento.mercadolibre.com.ar/MLA-850852775-departamentos-alquiler-recoleta-_JM,Departamentos Alquiler Recoleta,Departamento,70000.0,ARS,94,3
672,2020_04_25,-34.5994853,-58.3645525,https://departamento.mercadolibre.com.ar/MLA-850852808-departamentos-alquiler-puerto-madero-_JM,Departamentos Alquiler Puerto Madero,Departamento,2500.0,USD,145,3
674,2020_04_25,-34.6045656,-58.3642063,https://departamento.mercadolibre.com.ar/MLA-850852839-departamentos-alquiler-puerto-madero-_JM,Departamentos Alquiler Puerto Madero,Departamento,2650.0,USD,181,3
677,2020_04_25,-34.59184,-58.386515,https://departamento.mercadolibre.com.ar/MLA-850852916-departamentos-alquiler-recoleta-_JM,Departamentos Alquiler Recoleta,Departamento,57000.0,ARS,145,3
687,2020_04_25,-34.640129,-58.5194984,https://departamento.mercadolibre.com.ar/MLA-850869017-hermoso-3-ambientes-al-frente-con-cochera-_JM,Hermoso 3 Ambientes Al Frente Con Cochera,Departamento,22000.0,ARS,74,3
